id,entity_id,tran_date,due_date,total,amount_remaining,status,line_items,last_modified_date
NS-INV-0000011,NS-CUST-000019,2024-07-02,2024-07-17,51163.89,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Bright Labs 19 - Retainer Project"",""quantity"":269.47,""rate"":189.87,""amount"":51163.89}]",2025-10-08 01:11:20
NS-INV-0000012,NS-CUST-000020,2026-03-21,2026-05-20,107101.34,43642.99,Open,"[{""item"":""Agency Services"",""description"":""Nova Capital 20 - Retainer Project"",""quantity"":696.5,""rate"":153.77,""amount"":107101.34}]",2025-07-07 14:42:53
NS-INV-0000013,NS-CUST-000021,2025-03-29,2025-05-13,33217.83,18401.53,Partially Paid,"[{""item"":""Agency Services"",""description"":""Prime Labs 21 - Growth Project"",""quantity"":218.27,""rate"":152.19,""amount"":33217.83}]",2025-08-08 22:32:04
NS-INV-0000014,NS-CUST-000021,2026-02-26,2026-04-27,14800.76,6553.89,Partially Paid,"[{""item"":""Agency Services"",""description"":""Prime Labs 21 - Growth Project"",""quantity"":60.85,""rate"":243.22,""amount"":14800.76}]",2025-11-07 06:16:05
NS-INV-0000015,NS-CUST-000023,2025-07-31,2025-09-29,61101.1,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Blue Labs 23 - Retainer Project"",""quantity"":245.55,""rate"":248.83,""amount"":61101.1}]",2024-07-19 16:03:45
NS-INV-0000016,NS-CUST-000023,2025-04-24,2025-06-08,76972.87,21368.48,Open,"[{""item"":""Agency Services"",""description"":""Blue Labs 23 - Rebuild Project"",""quantity"":324.73,""rate"":237.04,""amount"":76972.87}]",2024-09-07 20:21:56
NS-INV-0000017,NS-CUST-000023,2024-12-19,2025-02-17,95706.42,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Blue Labs 23 - Retainer Project"",""quantity"":759.82,""rate"":125.96,""amount"":95706.42}]",2025-10-29 02:42:19
NS-INV-0000018,NS-CUST-000031,2024-11-21,2024-12-21,52687.23,30136.34,Open,"[{""item"":""Agency Services"",""description"":""Bright Digital 31 - Retainer Project"",""quantity"":346.88,""rate"":151.89,""amount"":52687.23}]",2024-09-16 10:38:28
NS-INV-0000019,NS-CUST-000032,2025-06-14,2025-06-29,67287.42,26590.32,Partially Paid,"[{""item"":""Agency Services"",""description"":""North Health 32 - Rebuild Project"",""quantity"":485.76,""rate"":138.52,""amount"":67287.42}]",2025-03-11 02:15:00
NS-INV-0000020,NS-CUST-000033,2025-11-26,2026-01-10,53770.82,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Bright Digital 33 - Campaign Project"",""quantity"":280.19,""rate"":191.91,""amount"":53770.82}]",2026-01-29 16:21:16
NS-INV-0000021,NS-CUST-000034,2024-05-03,2024-07-02,5969.48,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""North Health 34 - Rebuild Project"",""quantity"":43.1,""rate"":138.51,""amount"":5969.48}]",2026-02-17 04:06:57
NS-INV-0000022,NS-CUST-000043,2025-08-18,2025-10-02,10596.39,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""North Health 43 - Campaign Project"",""quantity"":54.85,""rate"":193.2,""amount"":10596.39}]",2025-09-19 19:40:35
NS-INV-0000023,NS-CUST-000043,2026-01-07,2026-03-08,36023.84,26671.37,Partially Paid,"[{""item"":""Agency Services"",""description"":""North Health 43 - Growth Project"",""quantity"":171.1,""rate"":210.54,""amount"":36023.84}]",2025-12-19 18:31:16
NS-INV-0000024,NS-CUST-000045,2025-10-04,2025-11-18,94926.47,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""North Digital 45 - Growth Project"",""quantity"":638.16,""rate"":148.75,""amount"":94926.47}]",2025-09-10 02:59:37
NS-INV-0000025,NS-CUST-000045,2024-09-12,2024-10-27,17758.19,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""North Digital 45 - Growth Project"",""quantity"":82.69,""rate"":214.76,""amount"":17758.19}]",2024-07-13 04:31:31
NS-INV-0000026,NS-CUST-000046,2024-12-27,2025-02-10,66789.01,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Nova Health 46 - Retainer Project"",""quantity"":390.72,""rate"":170.94,""amount"":66789.01}]",2026-02-07 20:08:52
NS-INV-0000027,NS-CUST-000047,2025-02-27,2025-04-28,23387.56,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Bright Digital 47 - Growth Project"",""quantity"":116.18,""rate"":201.3,""amount"":23387.56}]",2025-02-16 21:04:37
NS-INV-0000028,NS-CUST-000048,2025-05-03,2025-05-18,35145.39,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Blue Labs 48 - Rebuild Project"",""quantity"":194.87,""rate"":180.35,""amount"":35145.39}]",2026-01-29 19:53:07
NS-INV-0000029,NS-CUST-000050,2024-08-07,2024-09-21,42285.65,13349.06,Open,"[{""item"":""Agency Services"",""description"":""Nova Capital 50 - Retainer Project"",""quantity"":206.55,""rate"":204.72,""amount"":42285.65}]",2024-08-29 20:48:17
NS-INV-0000030,NS-CUST-000054,2024-11-17,2024-12-17,14968.99,4819.46,Open,"[{""item"":""Agency Services"",""description"":""Blue Retail 54 - Rebuild Project"",""quantity"":102.95,""rate"":145.4,""amount"":14968.99}]",2025-08-15 23:03:28
NS-INV-0000031,NS-CUST-000057,2024-12-20,2025-01-04,103717.36,55529.57,Open,"[{""item"":""Agency Services"",""description"":""Nova Retail 57 - Growth Project"",""quantity"":860.87,""rate"":120.48,""amount"":103717.36}]",2025-08-09 10:38:20
NS-INV-0000032,NS-CUST-000058,2024-11-20,2025-01-19,114312.86,79535.92,Partially Paid,"[{""item"":""Agency Services"",""description"":""North Capital 58 - Rebuild Project"",""quantity"":479.0,""rate"":238.65,""amount"":114312.86}]",2025-01-11 03:30:37
NS-INV-0000033,NS-CUST-000058,2026-01-28,2026-03-14,65733.97,17716.47,Open,"[{""item"":""Agency Services"",""description"":""North Capital 58 - Rebuild Project"",""quantity"":411.71,""rate"":159.66,""amount"":65733.97}]",2024-12-19 11:16:08
NS-INV-0000034,NS-CUST-000060,2025-07-01,2025-08-30,67940.29,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Bright Capital 60 - Rebuild Project"",""quantity"":294.5,""rate"":230.7,""amount"":67940.29}]",2025-01-05 14:20:34
NS-INV-0000035,NS-CUST-000061,2025-04-08,2025-06-07,147096.8,103768.47,Open,"[{""item"":""Agency Services"",""description"":""Blue Labs 61 - Retainer Project"",""quantity"":757.14,""rate"":194.28,""amount"":147096.8}]",2025-02-24 14:28:43
NS-INV-0000036,NS-CUST-000062,2025-03-18,2025-04-02,9370.17,5420.43,Partially Paid,"[{""item"":""Agency Services"",""description"":""Nova Retail 62 - Retainer Project"",""quantity"":54.11,""rate"":173.16,""amount"":9370.17}]",2026-01-26 01:00:02
NS-INV-0000037,NS-CUST-000062,2024-10-05,2024-10-20,84426.7,51990.28,Partially Paid,"[{""item"":""Agency Services"",""description"":""Nova Retail 62 - Growth Project"",""quantity"":351.1,""rate"":240.46,""amount"":84426.7}]",2025-10-20 02:32:15
NS-INV-0000038,NS-CUST-000064,2026-01-18,2026-02-02,62077.87,21924.11,Partially Paid,"[{""item"":""Agency Services"",""description"":""Blue Health 64 - Retainer Project"",""quantity"":273.66,""rate"":226.84,""amount"":62077.87}]",2024-05-27 20:08:30
NS-INV-0000039,NS-CUST-000064,2024-11-06,2024-12-21,22355.98,11119.59,Partially Paid,"[{""item"":""Agency Services"",""description"":""Blue Health 64 - Rebuild Project"",""quantity"":97.86,""rate"":228.46,""amount"":22355.98}]",2024-05-29 03:33:34
NS-INV-0000040,NS-CUST-000066,2026-03-05,2026-04-04,16299.74,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Prime Retail 66 - Growth Project"",""quantity"":77.78,""rate"":209.57,""amount"":16299.74}]",2025-10-30 09:47:12
NS-INV-0000041,NS-CUST-000067,2025-06-19,2025-07-04,38184.86,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Nova Health 67 - Rebuild Project"",""quantity"":260.22,""rate"":146.74,""amount"":38184.86}]",2024-11-25 01:04:02
NS-INV-0000042,NS-CUST-000070,2026-02-28,2026-04-29,25202.66,11530.44,Open,"[{""item"":""Agency Services"",""description"":""North Capital 70 - Campaign Project"",""quantity"":109.8,""rate"":229.54,""amount"":25202.66}]",2025-04-28 17:43:49
NS-INV-0000043,NS-CUST-000071,2026-04-16,2026-06-15,81579.6,24185.49,Open,"[{""item"":""Agency Services"",""description"":""Bright Digital 71 - Rebuild Project"",""quantity"":470.28,""rate"":173.47,""amount"":81579.6}]",2025-02-01 08:19:09
NS-INV-0000044,NS-CUST-000072,2025-02-28,2025-03-30,30307.38,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Bright Health 72 - Growth Project"",""quantity"":133.71,""rate"":226.66,""amount"":30307.38}]",2025-09-28 18:58:21
NS-INV-0000045,NS-CUST-000073,2026-04-08,2026-05-23,78347.82,15138.14,Partially Paid,"[{""item"":""Agency Services"",""description"":""North Retail 73 - Rebuild Project"",""quantity"":528.77,""rate"":148.17,""amount"":78347.82}]",2025-07-07 01:58:38
NS-INV-0000046,NS-CUST-000075,2025-06-29,2025-07-29,15750.2,8397.64,Partially Paid,"[{""item"":""Agency Services"",""description"":""Blue Digital 75 - Rebuild Project"",""quantity"":125.28,""rate"":125.72,""amount"":15750.2}]",2025-09-23 12:28:10
NS-INV-0000047,NS-CUST-000083,2025-03-01,2025-03-31,6851.85,1550.82,Partially Paid,"[{""item"":""Agency Services"",""description"":""Bright Capital 83 - Rebuild Project"",""quantity"":30.75,""rate"":222.86,""amount"":6851.85}]",2025-04-17 06:55:01
NS-INV-0000048,NS-CUST-000086,2024-11-09,2024-12-09,83071.36,26656.11,Open,"[{""item"":""Agency Services"",""description"":""Prime Health 86 - Rebuild Project"",""quantity"":402.03,""rate"":206.63,""amount"":83071.36}]",2025-07-24 17:56:04
NS-INV-0000049,NS-CUST-000087,2026-04-06,2026-05-21,101201.86,74913.47,Open,"[{""item"":""Agency Services"",""description"":""Bright Capital 87 - Growth Project"",""quantity"":621.9,""rate"":162.73,""amount"":101201.86}]",2024-05-09 07:11:11
NS-INV-0000050,NS-CUST-000088,2025-08-28,2025-10-27,77006.21,54903.07,Open,"[{""item"":""Agency Services"",""description"":""Nova Labs 88 - Campaign Project"",""quantity"":564.89,""rate"":136.32,""amount"":77006.21}]",2025-01-13 20:40:35
NS-INV-0000051,NS-CUST-000091,2025-08-25,2025-10-24,22971.37,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Prime Labs 91 - Campaign Project"",""quantity"":101.4,""rate"":226.55,""amount"":22971.37}]",2026-01-30 15:14:38
NS-INV-0000052,NS-CUST-000091,2026-02-02,2026-03-19,30507.1,8460.57,Open,"[{""item"":""Agency Services"",""description"":""Prime Labs 91 - Retainer Project"",""quantity"":122.82,""rate"":248.38,""amount"":30507.1}]",2024-08-04 23:07:57
NS-INV-0000053,NS-CUST-000093,2025-05-09,2025-06-08,45798.96,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Blue Health 93 - Retainer Project"",""quantity"":255.56,""rate"":179.21,""amount"":45798.96}]",2024-03-29 19:22:05
NS-INV-0000054,NS-CUST-000094,2026-06-17,2026-07-02,56914.97,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Nova Capital 94 - Retainer Project"",""quantity"":236.99,""rate"":240.16,""amount"":56914.97}]",2026-03-20 02:37:00
NS-INV-0000055,NS-CUST-000094,2024-08-24,2024-10-08,65384.56,28546.61,Partially Paid,"[{""item"":""Agency Services"",""description"":""Nova Capital 94 - Growth Project"",""quantity"":454.85,""rate"":143.75,""amount"":65384.56}]",2024-05-30 11:56:17
NS-INV-0000056,NS-CUST-000095,2026-05-20,2026-07-19,56563.9,35541.79,Partially Paid,"[{""item"":""Agency Services"",""description"":""Prime Health 95 - Retainer Project"",""quantity"":311.61,""rate"":181.52,""amount"":56563.9}]",2024-11-23 14:17:53
NS-INV-0000057,NS-CUST-000095,2025-07-20,2025-09-03,41005.87,6688.91,Open,"[{""item"":""Agency Services"",""description"":""Prime Health 95 - Rebuild Project"",""quantity"":199.4,""rate"":205.65,""amount"":41005.87}]",2024-05-26 01:05:19
NS-INV-0000058,NS-CUST-000099,2024-12-25,2025-02-08,69206.4,7340.3,Open,"[{""item"":""Agency Services"",""description"":""North Health 99 - Campaign Project"",""quantity"":346.66,""rate"":199.64,""amount"":69206.4}]",2024-08-26 15:53:34
NS-INV-0000059,NS-CUST-000101,2024-09-12,2024-09-27,23586.02,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Prime Digital 101 - Campaign Project"",""quantity"":94.67,""rate"":249.14,""amount"":23586.02}]",2024-12-24 00:26:32
NS-INV-0000060,NS-CUST-000102,2026-03-11,2026-03-26,103043.91,36609.02,Partially Paid,"[{""item"":""Agency Services"",""description"":""Prime Digital 102 - Rebuild Project"",""quantity"":609.69,""rate"":169.01,""amount"":103043.91}]",2025-04-11 12:35:37
NS-INV-0000061,NS-CUST-000103,2025-05-29,2025-07-13,60186.07,40006.39,Partially Paid,"[{""item"":""Agency Services"",""description"":""Bright Digital 103 - Retainer Project"",""quantity"":496.63,""rate"":121.19,""amount"":60186.07}]",2025-09-27 00:19:17
NS-INV-0000062,NS-CUST-000104,2026-06-18,2026-08-02,17703.4,13905.03,Partially Paid,"[{""item"":""Agency Services"",""description"":""Bright Retail 104 - Campaign Project"",""quantity"":139.58,""rate"":126.83,""amount"":17703.4}]",2025-12-15 01:26:16
NS-INV-0000063,NS-CUST-000105,2025-04-03,2025-05-03,24296.2,8837.81,Open,"[{""item"":""Agency Services"",""description"":""Bright Labs 105 - Campaign Project"",""quantity"":111.56,""rate"":217.79,""amount"":24296.2}]",2024-09-10 20:05:07
NS-INV-0000064,NS-CUST-000106,2024-07-13,2024-07-28,98633.14,50432.87,Open,"[{""item"":""Agency Services"",""description"":""North Digital 106 - Campaign Project"",""quantity"":744.46,""rate"":132.49,""amount"":98633.14}]",2025-05-27 04:11:19
NS-INV-0000065,NS-CUST-000106,2025-07-12,2025-07-27,54517.42,33399.43,Open,"[{""item"":""Agency Services"",""description"":""North Digital 106 - Rebuild Project"",""quantity"":306.5,""rate"":177.87,""amount"":54517.42}]",2025-12-23 23:18:48
NS-INV-0000066,NS-CUST-000107,2025-02-13,2025-03-30,46519.51,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""North Labs 107 - Rebuild Project"",""quantity"":205.59,""rate"":226.27,""amount"":46519.51}]",2024-07-04 11:42:14
NS-INV-0000067,NS-CUST-000109,2025-07-25,2025-09-08,13121.12,2256.27,Open,"[{""item"":""Agency Services"",""description"":""Nova Digital 109 - Campaign Project"",""quantity"":92.2,""rate"":142.31,""amount"":13121.12}]",2025-06-16 18:12:54
NS-INV-0000068,NS-CUST-000109,2025-07-12,2025-07-27,55566.06,43600.04,Open,"[{""item"":""Agency Services"",""description"":""Nova Digital 109 - Campaign Project"",""quantity"":269.55,""rate"":206.14,""amount"":55566.06}]",2024-08-09 09:56:01
NS-INV-0000069,NS-CUST-000109,2024-08-24,2024-10-23,23954.84,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Nova Digital 109 - Rebuild Project"",""quantity"":185.45,""rate"":129.17,""amount"":23954.84}]",2026-02-28 08:44:51
NS-INV-0000070,NS-CUST-000110,2026-06-30,2026-07-15,31554.3,9687.36,Open,"[{""item"":""Agency Services"",""description"":""Prime Labs 110 - Rebuild Project"",""quantity"":127.58,""rate"":247.33,""amount"":31554.3}]",2024-08-27 11:24:01
NS-INV-0000071,NS-CUST-000111,2026-04-06,2026-05-21,46131.49,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Blue Health 111 - Campaign Project"",""quantity"":220.44,""rate"":209.27,""amount"":46131.49}]",2025-01-03 06:09:43
NS-INV-0000072,NS-CUST-000116,2026-04-28,2026-05-28,52103.15,16907.96,Open,"[{""item"":""Agency Services"",""description"":""Bright Labs 116 - Growth Project"",""quantity"":301.44,""rate"":172.85,""amount"":52103.15}]",2024-05-12 11:26:47
NS-INV-0000073,NS-CUST-000117,2025-07-23,2025-09-21,104110.48,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Blue Retail 117 - Campaign Project"",""quantity"":431.6,""rate"":241.22,""amount"":104110.48}]",2025-03-05 05:39:16
NS-INV-0000074,NS-CUST-000117,2026-05-24,2026-07-23,56886.88,41276.68,Open,"[{""item"":""Agency Services"",""description"":""Blue Retail 117 - Retainer Project"",""quantity"":339.18,""rate"":167.72,""amount"":56886.88}]",2025-01-01 19:06:14
NS-INV-0000075,NS-CUST-000117,2025-06-17,2025-08-01,120945.61,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Blue Retail 117 - Rebuild Project"",""quantity"":512.44,""rate"":236.02,""amount"":120945.61}]",2024-12-01 02:36:49
NS-INV-0000076,NS-CUST-000120,2024-12-28,2025-02-11,84160.37,33875.49,Partially Paid,"[{""item"":""Agency Services"",""description"":""North Labs 120 - Retainer Project"",""quantity"":479.05,""rate"":175.68,""amount"":84160.37}]",2026-02-14 04:24:12
NS-INV-0000077,NS-CUST-000120,2026-07-07,2026-07-22,42455.63,33184.48,Partially Paid,"[{""item"":""Agency Services"",""description"":""North Labs 120 - Growth Project"",""quantity"":193.53,""rate"":219.37,""amount"":42455.63}]",2024-07-15 12:51:17
