id,company_name,email,entity_id,subsidiary,terms,balance,category,last_modified_date,custom_fields
NS-CUST-000105,Bright Labs 105,finance@client105.example.com,HS-COMP-000105,APAC,Net 45,0.0,B,2025-10-23 18:21:36,"{""segment"":""SMB""}"
NS-CUST-000106,North Digital 106,finance@client106.example.com,HS-COMP-000106,APAC,Net 60,0.0,A,2026-02-02 10:02:13,"{""segment"":""Mid-Market""}"
NS-CUST-000107,North Labs 107,finance@client107.example.com,HS-COMP-000107,EMEA,Net 60,0.0,C,2025-12-17 16:17:52,"{""segment"":""Mid-Market""}"
NS-CUST-000108,Bright Health 108,finance@client108.example.com,HS-COMP-000108,APAC,Net 60,0.0,B,2025-07-16 19:43:45,"{""segment"":""Mid-Market""}"
NS-CUST-000109,Nova Digital 109,finance@client109.example.com,HS-COMP-000109,APAC,Net 45,0.0,B,2026-03-11 07:01:45,"{""segment"":""SMB""}"
NS-CUST-000110,Prime Labs 110,finance@client110.example.com,HS-COMP-000110,EMEA,Net 15,0.0,B,2026-02-09 11:13:28,"{""segment"":""Enterprise""}"
NS-CUST-000111,Blue Health 111,finance@client111.example.com,HS-COMP-000111,APAC,Net 15,0.0,B,2026-03-08 18:10:59,"{""segment"":""Enterprise""}"
NS-CUST-000112,Bright Labs 112,finance@client112.example.com,HS-COMP-000112,US,Net 15,0.0,B,2026-03-10 01:39:14,"{""segment"":""Enterprise""}"
NS-CUST-000113,Blue Capital 113,finance@client113.example.com,HS-COMP-000113,EMEA,Net 15,0.0,A,2026-03-11 19:08:59,"{""segment"":""SMB""}"
NS-CUST-000114,Blue Retail 114,finance@client114.example.com,HS-COMP-000114,US,Net 45,0.0,C,2024-05-30 20:44:26,"{""segment"":""Mid-Market""}"
NS-CUST-000115,Prime Labs 115,finance@client115.example.com,HS-COMP-000115,US,Net 45,0.0,B,2026-02-09 07:02:39,"{""segment"":""Mid-Market""}"
NS-CUST-000116,Bright Labs 116,finance@client116.example.com,HS-COMP-000116,EMEA,Net 60,0.0,B,2025-11-25 20:17:23,"{""segment"":""Enterprise""}"
NS-CUST-000117,Blue Retail 117,finance@client117.example.com,HS-COMP-000117,EMEA,Net 15,0.0,C,2025-09-02 06:23:40,"{""segment"":""Mid-Market""}"
NS-CUST-000118,North Labs 118,finance@client118.example.com,HS-COMP-000118,US,Net 60,0.0,A,2026-02-01 14:54:37,"{""segment"":""Enterprise""}"
NS-CUST-000119,Blue Health 119,finance@client119.example.com,HS-COMP-000119,US,Net 60,0.0,B,2025-03-11 10:45:56,"{""segment"":""Enterprise""}"
NS-CUST-000120,North Labs 120,finance@client120.example.com,HS-COMP-000120,EMEA,Net 45,0.0,C,2025-02-20 23:07:32,"{""segment"":""Enterprise""}"
