_dataorbit_sync_id,_dataorbit_synced_at,_dataorbit_is_deleted,hs_object_id,name,domain,industry,hubspot_owner_id,createdate,hs_lastmodifieddate,properties
9a3204f6-b5bd-43a8-882d-a12c767facea,2026-03-27 17:37:47,False,HS-COMP-000012,Bright Labs 12,client012.example.com,Retail,HS-OWN-0007,2025-09-07 03:01:53,2025-10-21 14:43:51,"{""service_line_tags"":[""Web Dev""],""contract_type"":""Hybrid"",""retainer_value"":22407.74,""renewal_date"":""2026-09-07""}"
2ecb98ac-a148-481a-a71c-197e3054177c,2026-03-27 17:37:47,False,HS-COMP-000013,North Digital 13,client013.example.com,SaaS,HS-OWN-0005,2024-03-30 06:07:36,2025-10-12 02:53:53,"{""service_line_tags"":[""Email"",""Analytics"",""Paid Media""],""contract_type"":""Hybrid"",""retainer_value"":8426.25,""renewal_date"":""2026-03-30""}"
40df0664-048b-4368-9bf9-addfcac58a1b,2026-03-27 17:37:47,False,HS-COMP-000014,Blue Digital 14,client014.example.com,Retail,HS-OWN-0008,2024-07-24 10:45:36,2025-05-10 21:01:09,"{""service_line_tags"":[""SEO""],""contract_type"":""Retainer"",""retainer_value"":14636.03,""renewal_date"":""2026-07-24""}"
75f6c0a9-cc9d-40b1-8e4e-aaf26386885a,2026-03-27 17:37:47,False,HS-COMP-000015,Blue Labs 15,client015.example.com,Real Estate,HS-OWN-0008,2025-01-03 16:04:53,2025-08-30 12:33:36,"{""service_line_tags"":[""Analytics""],""contract_type"":""Retainer"",""retainer_value"":3803.32,""renewal_date"":""2027-01-03""}"
65e99795-6b1c-44d4-8fd1-f86e570e6ca2,2026-03-27 17:37:47,False,HS-COMP-000016,Nova Retail 16,client016.example.com,Retail,HS-OWN-0009,2025-05-15 11:59:32,2026-03-08 22:05:11,"{""service_line_tags"":[""Web Dev"",""Paid Media"",""Email""],""contract_type"":""Retainer"",""retainer_value"":5388.81,""renewal_date"":""2026-05-15""}"
804e7ab8-bbf8-486a-8ca7-63cd2c874a19,2026-03-27 17:37:47,False,HS-COMP-000017,Prime Health 17,client017.example.com,FinTech,HS-OWN-0009,2025-11-04 08:47:36,2026-03-26 02:31:07,"{""service_line_tags"":[""SEO"",""Paid Media""],""contract_type"":""Hybrid"",""retainer_value"":7025.9,""renewal_date"":""2026-11-04""}"
f0ae6733-c07d-4a6a-9007-32b3e08dfd57,2026-03-27 17:37:47,False,HS-COMP-000018,North Digital 18,client018.example.com,Healthcare,HS-OWN-0001,2024-09-18 06:17:30,2024-11-06 23:49:15,"{""service_line_tags"":[""Social""],""contract_type"":""Project"",""retainer_value"":2973.27,""renewal_date"":""2026-09-18""}"
e269addb-12c0-4d70-af77-08aaca48b2ac,2026-03-27 17:37:47,False,HS-COMP-000019,Bright Labs 19,client019.example.com,EdTech,HS-OWN-0004,2025-07-30 22:14:29,2025-08-22 18:59:04,"{""service_line_tags"":[""Social"",""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":4016.51,""renewal_date"":""2026-01-26""}"
bf5a31c7-40f6-456d-9d58-62afab39ef92,2026-03-27 17:37:47,False,HS-COMP-000020,Nova Capital 20,client020.example.com,Healthcare,HS-OWN-0008,2024-09-10 03:17:35,2025-11-02 23:20:31,"{""service_line_tags"":[""Paid Media"",""SEO""],""contract_type"":""Retainer"",""retainer_value"":18775.43,""renewal_date"":""2026-09-10""}"
78b8c74c-c633-4a98-90c7-0068eeb7eb49,2026-03-27 17:37:47,False,HS-COMP-000021,Prime Labs 21,client021.example.com,Real Estate,HS-OWN-0002,2024-06-11 00:33:03,2025-11-04 20:52:46,"{""service_line_tags"":[""Web Dev""],""contract_type"":""Project"",""retainer_value"":10471.7,""renewal_date"":""2025-06-11""}"
a6548c21-3145-4cea-a21e-deba0b6dfd29,2026-03-27 17:37:47,False,HS-COMP-000022,Nova Capital 22,client022.example.com,Healthcare,HS-OWN-0007,2025-10-14 08:30:53,2025-12-19 05:46:46,"{""service_line_tags"":[""Content""],""contract_type"":""Retainer"",""retainer_value"":8094.77,""renewal_date"":""2026-04-12""}"
9f6be632-9e88-45eb-8959-4590b5e2c08f,2026-03-27 17:37:47,False,HS-COMP-000023,Blue Labs 23,client023.example.com,Real Estate,HS-OWN-0009,2025-03-22 01:38:31,2025-06-27 02:00:24,"{""service_line_tags"":[""SEO""],""contract_type"":""Retainer"",""retainer_value"":12470.44,""renewal_date"":""2027-03-22""}"
e8880fd0-3d1d-4303-8be1-0f928ffa011b,2026-03-27 17:37:47,False,HS-COMP-000024,North Capital 24,client024.example.com,SaaS,HS-OWN-0003,2025-11-03 01:06:31,2025-12-18 22:43:00,"{""service_line_tags"":[""SEO"",""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":11644.32,""renewal_date"":""2026-11-03""}"
285bfc4f-1e79-49ae-9a7d-e7095c8c9a73,2026-03-27 17:37:47,False,HS-COMP-000025,Nova Capital 25,client025.example.com,Healthcare,HS-OWN-0004,2024-10-19 17:22:22,2025-10-08 03:20:36,"{""service_line_tags"":[""Paid Media"",""SEO""],""contract_type"":""Project"",""retainer_value"":12017.67,""renewal_date"":""2026-10-19""}"
0e8a3c95-cd04-4cc1-8efe-f10144636a07,2026-03-27 17:37:47,False,HS-COMP-000026,Blue Digital 26,client026.example.com,FinTech,HS-OWN-0009,2025-06-20 14:19:58,2026-01-17 03:57:30,"{""service_line_tags"":[""Paid Media"",""SEO"",""Email""],""contract_type"":""Retainer"",""retainer_value"":19329.45,""renewal_date"":""2025-12-17""}"
07e426b5-7ec3-42eb-a48d-85f17548b84b,2026-03-27 17:37:47,False,HS-COMP-000027,North Capital 27,client027.example.com,SaaS,HS-OWN-0010,2024-05-28 23:00:56,2026-03-21 05:11:27,"{""service_line_tags"":[""Email""],""contract_type"":""Retainer"",""retainer_value"":4041.73,""renewal_date"":""2024-11-24""}"
18157e30-0f08-41ef-ab9f-fded40f00ce6,2026-03-27 17:37:47,False,HS-COMP-000028,Nova Digital 28,client028.example.com,EdTech,HS-OWN-0006,2025-07-02 12:16:12,2025-07-17 22:41:20,"{""service_line_tags"":[""Paid Media"",""Social""],""contract_type"":""Hybrid"",""retainer_value"":4344.63,""renewal_date"":""2027-07-02""}"
cc5a9737-ba3c-4d01-b1da-7c76fa90a577,2026-03-27 17:37:47,False,HS-COMP-000029,Bright Capital 29,client029.example.com,Retail,HS-OWN-0002,2025-10-05 00:24:45,2025-12-05 00:36:55,"{""service_line_tags"":[""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":8476.33,""renewal_date"":""2026-04-03""}"
ca84723b-bf98-45c2-bc58-82e29af0ed33,2026-03-27 17:37:47,False,HS-COMP-000030,Nova Health 30,client030.example.com,Healthcare,HS-OWN-0006,2025-07-23 04:52:38,2026-02-26 20:21:29,"{""service_line_tags"":[""Paid Media""],""contract_type"":""Retainer"",""retainer_value"":4148.37,""renewal_date"":""2026-01-19""}"
78470d45-9a76-40f5-be45-04ec36e13d96,2026-03-27 17:37:47,False,HS-COMP-000031,Bright Digital 31,client031.example.com,E-commerce,HS-OWN-0009,2025-01-08 18:06:50,2025-08-18 02:39:50,"{""service_line_tags"":[""Social""],""contract_type"":""Retainer"",""retainer_value"":12359.15,""renewal_date"":""2027-01-08""}"
639d8e0d-be17-45c7-a5ae-d52850c0f5f9,2026-03-27 17:37:47,False,HS-COMP-000032,North Health 32,client032.example.com,SaaS,HS-OWN-0002,2025-12-22 09:33:17,2026-02-14 05:52:18,"{""service_line_tags"":[""Email"",""Paid Media"",""Content""],""contract_type"":""Project"",""retainer_value"":23464.51,""renewal_date"":""2026-06-20""}"
fed1e84d-c291-4d0f-969c-13cdd55bca3e,2026-03-27 17:37:47,False,HS-COMP-000033,Bright Digital 33,client033.example.com,FinTech,HS-OWN-0005,2024-11-01 13:56:50,2026-02-14 08:47:32,"{""service_line_tags"":[""SEO""],""contract_type"":""Retainer"",""retainer_value"":18646.27,""renewal_date"":""2025-04-30""}"
5429db06-bf61-42da-9021-0c995228567c,2026-03-27 17:37:47,False,HS-COMP-000034,North Health 34,client034.example.com,Healthcare,HS-OWN-0008,2025-08-02 09:32:55,2026-01-13 21:33:39,"{""service_line_tags"":[""Social"",""Web Dev"",""Email""],""contract_type"":""Project"",""retainer_value"":3491.95,""renewal_date"":""2026-08-02""}"
a60ac827-6ccc-4fa5-bcd8-f40ebae90c95,2026-03-27 17:37:47,False,HS-COMP-000035,North Digital 35,client035.example.com,SaaS,HS-OWN-0006,2024-04-04 05:53:09,2024-06-30 03:21:58,"{""service_line_tags"":[""Email"",""Paid Media"",""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":23763.65,""renewal_date"":""2026-04-04""}"
d533779f-5a73-4e2a-8572-399a07c8decb,2026-03-27 17:37:47,False,HS-COMP-000036,Bright Retail 36,client036.example.com,Real Estate,HS-OWN-0004,2024-07-04 17:23:11,2024-08-06 05:07:58,"{""service_line_tags"":[""SEO"",""Content"",""Email""],""contract_type"":""Project"",""retainer_value"":10704.66,""renewal_date"":""2024-12-31""}"
932e65c4-043c-4537-becc-94a459b4dd51,2026-03-27 17:37:47,False,HS-COMP-000037,North Retail 37,client037.example.com,E-commerce,HS-OWN-0003,2026-02-12 11:05:42,2026-03-26 22:12:33,"{""service_line_tags"":[""Web Dev""],""contract_type"":""Project"",""retainer_value"":24411.33,""renewal_date"":""2028-02-12""}"
f6f5015e-4f96-4a4d-a827-67ceb1c4ab82,2026-03-27 17:37:47,False,HS-COMP-000038,North Health 38,client038.example.com,Healthcare,HS-OWN-0002,2024-04-15 23:40:51,2024-09-02 07:12:21,"{""service_line_tags"":[""Analytics"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":23300.96,""renewal_date"":""2025-04-15""}"
c1b2f0bd-05bf-4123-925b-d66b5dbca507,2026-03-27 17:37:47,False,HS-COMP-000039,Bright Health 39,client039.example.com,E-commerce,HS-OWN-0004,2026-01-23 14:58:04,2026-03-10 07:45:18,"{""service_line_tags"":[""SEO""],""contract_type"":""Retainer"",""retainer_value"":6990.39,""renewal_date"":""2027-01-23""}"
3a50a14f-6039-4037-b791-757e7599e8e4,2026-03-27 17:37:47,False,HS-COMP-000040,Bright Health 40,client040.example.com,Real Estate,HS-OWN-0009,2025-08-22 09:32:24,2025-11-05 09:38:24,"{""service_line_tags"":[""Social"",""Email""],""contract_type"":""Project"",""retainer_value"":9885.89,""renewal_date"":""2026-02-18""}"
67fb19dd-a3d4-410c-81a3-0afb395f97df,2026-03-27 17:37:47,False,HS-COMP-000041,North Digital 41,client041.example.com,Retail,HS-OWN-0001,2024-12-09 22:42:38,2024-12-31 09:13:18,"{""service_line_tags"":[""Email""],""contract_type"":""Retainer"",""retainer_value"":22233.36,""renewal_date"":""2025-12-09""}"
8a976ad5-7406-4799-9868-5b0587111a2c,2026-03-27 17:37:47,False,HS-COMP-000042,Nova Digital 42,client042.example.com,SaaS,HS-OWN-0007,2025-02-28 06:29:07,2025-11-23 18:33:36,"{""service_line_tags"":[""Paid Media"",""Content"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":20194.63,""renewal_date"":""2026-02-28""}"
cc1406be-9610-40f6-960a-1a4327494c0d,2026-03-27 17:37:47,False,HS-COMP-000043,North Health 43,client043.example.com,FinTech,HS-OWN-0002,2025-09-29 06:20:42,2025-12-22 22:31:13,"{""service_line_tags"":[""Content"",""Email"",""Analytics""],""contract_type"":""Retainer"",""retainer_value"":14198.21,""renewal_date"":""2027-09-29""}"
a59367ce-0e47-45e6-9869-ce5cdab0835d,2026-03-27 17:37:47,False,HS-COMP-000044,Bright Capital 44,client044.example.com,Retail,HS-OWN-0007,2025-08-25 00:04:06,2025-10-12 09:39:37,"{""service_line_tags"":[""Content"",""Email"",""Paid Media""],""contract_type"":""Hybrid"",""retainer_value"":22751.05,""renewal_date"":""2027-08-25""}"
43f27ed1-b145-4509-91f2-50d7b4073364,2026-03-27 17:37:47,False,HS-COMP-000045,North Digital 45,client045.example.com,EdTech,HS-OWN-0005,2024-08-23 17:47:17,2025-07-16 07:28:32,"{""service_line_tags"":[""Email"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":23658.18,""renewal_date"":""2026-08-23""}"
8c15703c-7496-489a-9a4b-52bee5f0d6d4,2026-03-27 17:37:47,False,HS-COMP-000046,Nova Health 46,client046.example.com,FinTech,HS-OWN-0008,2024-11-18 18:16:09,2025-06-29 14:43:42,"{""service_line_tags"":[""Social"",""Paid Media""],""contract_type"":""Retainer"",""retainer_value"":12172.48,""renewal_date"":""2026-11-18""}"
79e929f7-e2ed-435c-bc84-5b23be29ee86,2026-03-27 17:37:47,False,HS-COMP-000047,Bright Digital 47,client047.example.com,Real Estate,HS-OWN-0010,2025-04-28 18:36:13,2025-10-29 13:01:06,"{""service_line_tags"":[""SEO"",""Paid Media""],""contract_type"":""Hybrid"",""retainer_value"":6318.06,""renewal_date"":""2025-10-25""}"
4b1e1669-4fdc-4619-be06-8b80f1f12ddc,2026-03-27 17:37:47,False,HS-COMP-000048,Blue Labs 48,client048.example.com,Healthcare,HS-OWN-0008,2025-09-01 07:27:00,2025-12-30 20:46:08,"{""service_line_tags"":[""Analytics"",""SEO"",""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":20647.67,""renewal_date"":""2026-02-28""}"
584d4770-4168-46db-b5f7-5dffcb8754b3,2026-03-27 17:37:47,False,HS-COMP-000049,Prime Retail 49,client049.example.com,Healthcare,HS-OWN-0001,2025-02-12 15:22:12,2025-07-13 15:54:19,"{""service_line_tags"":[""Analytics""],""contract_type"":""Hybrid"",""retainer_value"":18167.97,""renewal_date"":""2026-02-12""}"
3d131e72-bddd-4ab5-9330-8e202db339f6,2026-03-27 17:37:47,False,HS-COMP-000050,Nova Capital 50,client050.example.com,SaaS,HS-OWN-0009,2025-02-20 22:55:45,2025-08-09 22:25:25,"{""service_line_tags"":[""Analytics""],""contract_type"":""Retainer"",""retainer_value"":20592.47,""renewal_date"":""2027-02-20""}"
c25100d0-3bed-4f8b-920f-2428e3f4be5f,2026-03-27 17:37:47,False,HS-COMP-000051,Nova Digital 51,client051.example.com,EdTech,HS-OWN-0006,2024-06-29 23:55:04,2025-06-19 12:58:58,"{""service_line_tags"":[""Email"",""Social""],""contract_type"":""Retainer"",""retainer_value"":20531.87,""renewal_date"":""2026-06-29""}"
5ef03a7a-0317-40dc-95e4-8f7853f6bd02,2026-03-27 17:37:47,False,HS-COMP-000052,Prime Retail 52,client052.example.com,Real Estate,HS-OWN-0008,2026-02-18 14:05:35,2026-03-15 02:12:08,"{""service_line_tags"":[""Content"",""Paid Media""],""contract_type"":""Project"",""retainer_value"":21187.81,""renewal_date"":""2028-02-18""}"
d3f2e5d5-2cef-49c0-9f7f-4f93a239ce79,2026-03-27 17:37:47,False,HS-COMP-000053,Prime Retail 53,client053.example.com,Retail,HS-OWN-0008,2026-01-09 01:48:31,2026-03-11 23:40:02,"{""service_line_tags"":[""Social""],""contract_type"":""Project"",""retainer_value"":19730.81,""renewal_date"":""2028-01-09""}"
df8ba4f7-e6d7-49f1-905d-27995ba8c4a9,2026-03-27 17:37:47,False,HS-COMP-000054,Blue Retail 54,client054.example.com,Healthcare,HS-OWN-0004,2024-11-04 15:59:18,2025-05-05 19:15:55,"{""service_line_tags"":[""Social"",""Paid Media""],""contract_type"":""Project"",""retainer_value"":10056.57,""renewal_date"":""2026-11-04""}"
2a4d0225-5106-47d7-b2b7-f11650d47971,2026-03-27 17:37:47,False,HS-COMP-000055,Nova Capital 55,client055.example.com,FinTech,HS-OWN-0001,2025-09-27 10:14:13,2025-11-07 23:19:46,"{""service_line_tags"":[""Analytics""],""contract_type"":""Retainer"",""retainer_value"":11834.53,""renewal_date"":""2026-09-27""}"
da310b6c-538e-441e-b5ac-1f0368766529,2026-03-27 17:37:47,False,HS-COMP-000056,Nova Capital 56,client056.example.com,FinTech,HS-OWN-0001,2025-02-17 01:40:21,2025-12-16 14:02:47,"{""service_line_tags"":[""Content"",""Web Dev""],""contract_type"":""Hybrid"",""retainer_value"":23786.4,""renewal_date"":""2025-08-16""}"
93650638-9969-434b-8d9a-dfa1e6a85b1a,2026-03-27 17:37:47,False,HS-COMP-000057,Nova Retail 57,client057.example.com,FinTech,HS-OWN-0004,2026-01-19 15:03:09,2026-03-01 07:26:34,"{""service_line_tags"":[""Web Dev"",""Analytics""],""contract_type"":""Hybrid"",""retainer_value"":19319.1,""renewal_date"":""2028-01-19""}"
ad2dd2a1-2517-4b09-a1e3-93c8d878bb84,2026-03-27 17:37:47,False,HS-COMP-000058,North Capital 58,client058.example.com,Healthcare,HS-OWN-0010,2024-04-19 06:41:29,2025-02-15 07:30:54,"{""service_line_tags"":[""SEO"",""Web Dev"",""Email""],""contract_type"":""Project"",""retainer_value"":17549.66,""renewal_date"":""2025-04-19""}"
76647cb0-ea66-4d8a-b270-a61e9d425dab,2026-03-27 17:37:47,False,HS-COMP-000059,North Capital 59,client059.example.com,Healthcare,HS-OWN-0001,2025-06-09 02:39:31,2026-02-21 14:15:51,"{""service_line_tags"":[""Web Dev"",""Content""],""contract_type"":""Retainer"",""retainer_value"":4388.82,""renewal_date"":""2026-06-09""}"
fe43adbf-7f0e-4549-ae16-e3d1ff2a0e00,2026-03-27 17:37:47,False,HS-COMP-000060,Bright Capital 60,client060.example.com,Retail,HS-OWN-0002,2024-09-08 03:15:48,2025-08-27 07:28:23,"{""service_line_tags"":[""SEO"",""Social""],""contract_type"":""Project"",""retainer_value"":10093.76,""renewal_date"":""2025-09-08""}"
1edcd8a8-d53e-469c-8dbb-de1862bfbd0b,2026-03-27 17:37:47,False,HS-COMP-000061,Blue Labs 61,client061.example.com,Healthcare,HS-OWN-0004,2025-05-20 17:07:46,2025-06-09 22:36:08,"{""service_line_tags"":[""Email""],""contract_type"":""Project"",""retainer_value"":7545.0,""renewal_date"":""2025-11-16""}"
befdb797-c032-469f-9770-9520c311f436,2026-03-27 17:37:47,False,HS-COMP-000062,Nova Retail 62,client062.example.com,FinTech,HS-OWN-0005,2024-07-24 02:14:33,2025-01-25 09:02:33,"{""service_line_tags"":[""Paid Media"",""Email""],""contract_type"":""Retainer"",""retainer_value"":13155.12,""renewal_date"":""2025-01-20""}"
8d843a56-5913-4ff8-8fe5-7b1dabd9c9b9,2026-03-27 17:37:47,False,HS-COMP-000063,Nova Labs 63,client063.example.com,Retail,HS-OWN-0010,2025-07-12 09:32:36,2025-08-25 21:04:01,"{""service_line_tags"":[""Web Dev"",""Analytics"",""Paid Media""],""contract_type"":""Retainer"",""retainer_value"":24206.22,""renewal_date"":""2026-01-08""}"
0dd12064-d74e-4d26-9ee1-5112ef952fe0,2026-03-27 17:37:47,False,HS-COMP-000064,Blue Health 64,client064.example.com,E-commerce,HS-OWN-0010,2024-05-25 18:18:24,2025-08-28 15:48:38,"{""service_line_tags"":[""Analytics""],""contract_type"":""Hybrid"",""retainer_value"":21187.86,""renewal_date"":""2024-11-21""}"
6ecbc328-53d2-465e-92ec-224187aa991d,2026-03-27 17:37:47,False,HS-COMP-000065,Bright Labs 65,client065.example.com,EdTech,HS-OWN-0006,2025-06-10 07:22:37,2025-06-26 06:10:08,"{""service_line_tags"":[""Analytics""],""contract_type"":""Project"",""retainer_value"":14486.77,""renewal_date"":""2027-06-10""}"
e719033e-1a81-4966-95d3-cc041e63112e,2026-03-27 17:37:47,False,HS-COMP-000066,Prime Retail 66,client066.example.com,FinTech,HS-OWN-0003,2025-02-17 00:05:31,2026-03-04 18:06:50,"{""service_line_tags"":[""Email"",""Social"",""Content""],""contract_type"":""Retainer"",""retainer_value"":12254.28,""renewal_date"":""2026-02-17""}"
df87d55e-872b-454d-89bd-f00ce0a17074,2026-03-27 17:37:47,False,HS-COMP-000067,Nova Health 67,client067.example.com,Retail,HS-OWN-0004,2025-07-19 03:04:05,2026-02-13 03:12:11,"{""service_line_tags"":[""Content""],""contract_type"":""Project"",""retainer_value"":12959.66,""renewal_date"":""2027-07-19""}"
4b7dc911-67d2-4ed0-85e0-17dc3bfe8c83,2026-03-27 17:37:47,False,HS-COMP-000068,Nova Capital 68,client068.example.com,Retail,HS-OWN-0001,2026-02-10 12:25:34,2026-03-04 09:38:54,"{""service_line_tags"":[""Analytics"",""Content""],""contract_type"":""Retainer"",""retainer_value"":19385.72,""renewal_date"":""2028-02-10""}"
4fc25a19-dc94-489e-ab11-e8fc64e3a425,2026-03-27 17:37:47,False,HS-COMP-000069,Bright Health 69,client069.example.com,EdTech,HS-OWN-0005,2024-08-15 23:22:13,2025-08-29 15:57:35,"{""service_line_tags"":[""SEO"",""Email"",""Paid Media""],""contract_type"":""Retainer"",""retainer_value"":10483.56,""renewal_date"":""2025-08-15""}"
bd763222-956d-4a1e-835d-e0ecc7ddf71a,2026-03-27 17:37:47,False,HS-COMP-000070,North Capital 70,client070.example.com,Real Estate,HS-OWN-0008,2024-06-02 05:34:15,2024-12-06 16:46:25,"{""service_line_tags"":[""Analytics"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":11644.63,""renewal_date"":""2026-06-02""}"
bc013e25-3daa-4568-9af2-2835d6031319,2026-03-27 17:37:47,False,HS-COMP-000071,Bright Digital 71,client071.example.com,Retail,HS-OWN-0008,2024-06-08 00:16:11,2025-01-22 13:13:06,"{""service_line_tags"":[""Email"",""Content"",""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":11599.03,""renewal_date"":""2024-12-05""}"
10393823-6998-4aad-97fa-a80d8bec1aa1,2026-03-27 17:37:47,False,HS-COMP-000072,Bright Health 72,client072.example.com,Retail,HS-OWN-0004,2025-10-28 02:52:26,2026-02-11 23:52:12,"{""service_line_tags"":[""Social""],""contract_type"":""Project"",""retainer_value"":10415.74,""renewal_date"":""2026-10-28""}"
ea58fbda-3f79-4bae-aad4-e6b02f6db17d,2026-03-27 17:37:47,False,HS-COMP-000073,North Retail 73,client073.example.com,Healthcare,HS-OWN-0008,2024-08-24 07:39:40,2025-04-26 09:54:04,"{""service_line_tags"":[""Social"",""Email""],""contract_type"":""Retainer"",""retainer_value"":19214.82,""renewal_date"":""2026-08-24""}"
c7dca680-d5a6-49c6-bfc6-9ba6af0eb01a,2026-03-27 17:37:47,False,HS-COMP-000074,North Health 74,client074.example.com,Healthcare,HS-OWN-0006,2025-11-08 04:55:55,2026-02-18 01:55:01,"{""service_line_tags"":[""Content""],""contract_type"":""Hybrid"",""retainer_value"":8867.47,""renewal_date"":""2026-05-07""}"
d714def4-97df-496d-9d87-202725a89a0a,2026-03-27 17:37:47,False,HS-COMP-000075,Blue Digital 75,client075.example.com,Retail,HS-OWN-0003,2024-04-07 17:22:27,2025-10-09 15:47:43,"{""service_line_tags"":[""Analytics"",""Web Dev"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":5348.12,""renewal_date"":""2024-10-04""}"
0ccc39d2-3fb7-4304-b87e-06f901f10b12,2026-03-27 17:37:47,False,HS-COMP-000076,Prime Health 76,client076.example.com,Healthcare,HS-OWN-0001,2026-02-03 14:18:17,2026-02-04 18:53:06,"{""service_line_tags"":[""Analytics"",""Web Dev""],""contract_type"":""Hybrid"",""retainer_value"":8897.63,""renewal_date"":""2027-02-03""}"
fd891b7a-4dc0-4b79-8fa3-6aefdf4ba694,2026-03-27 17:37:47,False,HS-COMP-000077,Nova Labs 77,client077.example.com,Healthcare,HS-OWN-0003,2024-06-24 08:22:05,2026-03-24 21:42:52,"{""service_line_tags"":[""Content"",""SEO"",""Paid Media""],""contract_type"":""Retainer"",""retainer_value"":11515.92,""renewal_date"":""2024-12-21""}"
