hs_object_id,name,domain,industry,hubspot_owner_id,createdate,hs_lastmodifieddate,properties
HS-COMP-000018,North Digital 18,client018.example.com,Healthcare,HS-OWN-0001,2024-09-18 06:26:45,2024-11-06 23:58:30,"{""service_line_tags"":[""Social""],""contract_type"":""Project"",""retainer_value"":2973.27,""renewal_date"":""2026-09-18""}"
HS-COMP-000019,Bright Labs 19,client019.example.com,EdTech,HS-OWN-0004,2025-07-30 22:23:44,2025-08-22 19:08:19,"{""service_line_tags"":[""Social"",""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":4016.51,""renewal_date"":""2026-01-26""}"
HS-COMP-000020,Nova Capital 20,client020.example.com,Healthcare,HS-OWN-0008,2024-09-10 03:26:50,2025-11-02 23:29:46,"{""service_line_tags"":[""Paid Media"",""SEO""],""contract_type"":""Retainer"",""retainer_value"":18775.43,""renewal_date"":""2026-09-10""}"
HS-COMP-000021,Prime Labs 21,client021.example.com,Real Estate,HS-OWN-0002,2024-06-11 00:42:18,2025-11-04 21:02:01,"{""service_line_tags"":[""Web Dev""],""contract_type"":""Project"",""retainer_value"":10471.7,""renewal_date"":""2025-06-11""}"
HS-COMP-000022,Nova Capital 22,client022.example.com,Healthcare,HS-OWN-0007,2025-10-14 08:40:08,2025-12-19 05:56:01,"{""service_line_tags"":[""Content""],""contract_type"":""Retainer"",""retainer_value"":8094.77,""renewal_date"":""2026-04-12""}"
HS-COMP-000023,Blue Labs 23,client023.example.com,Real Estate,HS-OWN-0009,2025-03-22 01:47:46,2025-06-27 02:09:39,"{""service_line_tags"":[""SEO""],""contract_type"":""Retainer"",""retainer_value"":12470.44,""renewal_date"":""2027-03-22""}"
HS-COMP-000024,North Capital 24,client024.example.com,SaaS,HS-OWN-0003,2025-11-03 01:15:46,2025-12-18 22:52:15,"{""service_line_tags"":[""SEO"",""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":11644.32,""renewal_date"":""2026-11-03""}"
HS-COMP-000025,Nova Capital 25,client025.example.com,Healthcare,HS-OWN-0004,2024-10-19 17:31:37,2025-10-08 03:29:51,"{""service_line_tags"":[""Paid Media"",""SEO""],""contract_type"":""Project"",""retainer_value"":12017.67,""renewal_date"":""2026-10-19""}"
HS-COMP-000026,Blue Digital 26,client026.example.com,FinTech,HS-OWN-0009,2025-06-20 14:29:13,2026-01-17 04:06:45,"{""service_line_tags"":[""Paid Media"",""SEO"",""Email""],""contract_type"":""Retainer"",""retainer_value"":19329.45,""renewal_date"":""2025-12-17""}"
HS-COMP-000027,North Capital 27,client027.example.com,SaaS,HS-OWN-0010,2024-05-28 23:10:11,2026-03-21 05:20:42,"{""service_line_tags"":[""Email""],""contract_type"":""Retainer"",""retainer_value"":4041.73,""renewal_date"":""2024-11-24""}"
HS-COMP-000028,Nova Digital 28,client028.example.com,EdTech,HS-OWN-0006,2025-07-02 12:25:27,2025-07-17 22:50:35,"{""service_line_tags"":[""Paid Media"",""Social""],""contract_type"":""Hybrid"",""retainer_value"":4344.63,""renewal_date"":""2027-07-02""}"
HS-COMP-000029,Bright Capital 29,client029.example.com,Retail,HS-OWN-0002,2025-10-05 00:34:00,2025-12-05 00:46:10,"{""service_line_tags"":[""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":8476.33,""renewal_date"":""2026-04-03""}"
HS-COMP-000030,Nova Health 30,client030.example.com,Healthcare,HS-OWN-0006,2025-07-23 05:01:53,2026-02-26 20:30:44,"{""service_line_tags"":[""Paid Media""],""contract_type"":""Retainer"",""retainer_value"":4148.37,""renewal_date"":""2026-01-19""}"
HS-COMP-000031,Bright Digital 31,client031.example.com,E-commerce,HS-OWN-0009,2025-01-08 18:16:05,2025-08-18 02:49:05,"{""service_line_tags"":[""Social""],""contract_type"":""Retainer"",""retainer_value"":12359.15,""renewal_date"":""2027-01-08""}"
HS-COMP-000032,North Health 32,client032.example.com,SaaS,HS-OWN-0002,2025-12-22 09:42:32,2026-02-14 06:01:33,"{""service_line_tags"":[""Email"",""Paid Media"",""Content""],""contract_type"":""Project"",""retainer_value"":23464.51,""renewal_date"":""2026-06-20""}"
HS-COMP-000033,Bright Digital 33,client033.example.com,FinTech,HS-OWN-0005,2024-11-01 14:06:05,2026-02-14 08:56:47,"{""service_line_tags"":[""SEO""],""contract_type"":""Retainer"",""retainer_value"":18646.27,""renewal_date"":""2025-04-30""}"
HS-COMP-000034,North Health 34,client034.example.com,Healthcare,HS-OWN-0008,2025-08-02 09:42:10,2026-01-13 21:42:54,"{""service_line_tags"":[""Social"",""Web Dev"",""Email""],""contract_type"":""Project"",""retainer_value"":3491.95,""renewal_date"":""2026-08-02""}"
HS-COMP-000035,North Digital 35,client035.example.com,SaaS,HS-OWN-0006,2024-04-04 06:02:24,2024-06-30 03:31:13,"{""service_line_tags"":[""Email"",""Paid Media"",""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":23763.65,""renewal_date"":""2026-04-04""}"
HS-COMP-000036,Bright Retail 36,client036.example.com,Real Estate,HS-OWN-0004,2024-07-04 17:32:26,2024-08-06 05:17:13,"{""service_line_tags"":[""SEO"",""Content"",""Email""],""contract_type"":""Project"",""retainer_value"":10704.66,""renewal_date"":""2024-12-31""}"
HS-COMP-000037,North Retail 37,client037.example.com,E-commerce,HS-OWN-0003,2026-02-12 11:14:57,2026-03-26 22:21:48,"{""service_line_tags"":[""Web Dev""],""contract_type"":""Project"",""retainer_value"":24411.33,""renewal_date"":""2028-02-12""}"
HS-COMP-000038,North Health 38,client038.example.com,Healthcare,HS-OWN-0002,2024-04-15 23:50:06,2024-09-02 07:21:36,"{""service_line_tags"":[""Analytics"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":23300.96,""renewal_date"":""2025-04-15""}"
HS-COMP-000039,Bright Health 39,client039.example.com,E-commerce,HS-OWN-0004,2026-01-23 15:07:19,2026-03-10 07:54:33,"{""service_line_tags"":[""SEO""],""contract_type"":""Retainer"",""retainer_value"":6990.39,""renewal_date"":""2027-01-23""}"
HS-COMP-000040,Bright Health 40,client040.example.com,Real Estate,HS-OWN-0009,2025-08-22 09:41:39,2025-11-05 09:47:39,"{""service_line_tags"":[""Social"",""Email""],""contract_type"":""Project"",""retainer_value"":9885.89,""renewal_date"":""2026-02-18""}"
HS-COMP-000041,North Digital 41,client041.example.com,Retail,HS-OWN-0001,2024-12-09 22:51:53,2024-12-31 09:22:33,"{""service_line_tags"":[""Email""],""contract_type"":""Retainer"",""retainer_value"":22233.36,""renewal_date"":""2025-12-09""}"
HS-COMP-000042,Nova Digital 42,client042.example.com,SaaS,HS-OWN-0007,2025-02-28 06:38:22,2025-11-23 18:42:51,"{""service_line_tags"":[""Paid Media"",""Content"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":20194.63,""renewal_date"":""2026-02-28""}"
HS-COMP-000043,North Health 43,client043.example.com,FinTech,HS-OWN-0002,2025-09-29 06:29:57,2025-12-22 22:40:28,"{""service_line_tags"":[""Content"",""Email"",""Analytics""],""contract_type"":""Retainer"",""retainer_value"":14198.21,""renewal_date"":""2027-09-29""}"
HS-COMP-000044,Bright Capital 44,client044.example.com,Retail,HS-OWN-0007,2025-08-25 00:13:21,2025-10-12 09:48:52,"{""service_line_tags"":[""Content"",""Email"",""Paid Media""],""contract_type"":""Hybrid"",""retainer_value"":22751.05,""renewal_date"":""2027-08-25""}"
HS-COMP-000045,North Digital 45,client045.example.com,EdTech,HS-OWN-0005,2024-08-23 17:56:32,2025-07-16 07:37:47,"{""service_line_tags"":[""Email"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":23658.18,""renewal_date"":""2026-08-23""}"
HS-COMP-000046,Nova Health 46,client046.example.com,FinTech,HS-OWN-0008,2024-11-18 18:25:24,2025-06-29 14:52:57,"{""service_line_tags"":[""Social"",""Paid Media""],""contract_type"":""Retainer"",""retainer_value"":12172.48,""renewal_date"":""2026-11-18""}"
HS-COMP-000047,Bright Digital 47,client047.example.com,Real Estate,HS-OWN-0010,2025-04-28 18:45:28,2025-10-29 13:10:21,"{""service_line_tags"":[""SEO"",""Paid Media""],""contract_type"":""Hybrid"",""retainer_value"":6318.06,""renewal_date"":""2025-10-25""}"
HS-COMP-000048,Blue Labs 48,client048.example.com,Healthcare,HS-OWN-0008,2025-09-01 07:36:15,2025-12-30 20:55:23,"{""service_line_tags"":[""Analytics"",""SEO"",""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":20647.67,""renewal_date"":""2026-02-28""}"
HS-COMP-000049,Prime Retail 49,client049.example.com,Healthcare,HS-OWN-0001,2025-02-12 15:31:27,2025-07-13 16:03:34,"{""service_line_tags"":[""Analytics""],""contract_type"":""Hybrid"",""retainer_value"":18167.97,""renewal_date"":""2026-02-12""}"
HS-COMP-000050,Nova Capital 50,client050.example.com,SaaS,HS-OWN-0009,2025-02-20 23:05:00,2025-08-09 22:34:40,"{""service_line_tags"":[""Analytics""],""contract_type"":""Retainer"",""retainer_value"":20592.47,""renewal_date"":""2027-02-20""}"
HS-COMP-000051,Nova Digital 51,client051.example.com,EdTech,HS-OWN-0006,2024-06-30 00:04:19,2025-06-19 13:08:13,"{""service_line_tags"":[""Email"",""Social""],""contract_type"":""Retainer"",""retainer_value"":20531.87,""renewal_date"":""2026-06-30""}"
HS-COMP-000052,Prime Retail 52,client052.example.com,Real Estate,HS-OWN-0008,2026-02-18 14:14:50,2026-03-15 02:21:23,"{""service_line_tags"":[""Content"",""Paid Media""],""contract_type"":""Project"",""retainer_value"":21187.81,""renewal_date"":""2028-02-18""}"
HS-COMP-000053,Prime Retail 53,client053.example.com,Retail,HS-OWN-0008,2026-01-09 01:57:46,2026-03-11 23:49:17,"{""service_line_tags"":[""Social""],""contract_type"":""Project"",""retainer_value"":19730.81,""renewal_date"":""2028-01-09""}"
HS-COMP-000054,Blue Retail 54,client054.example.com,Healthcare,HS-OWN-0004,2024-11-04 16:08:33,2025-05-05 19:25:10,"{""service_line_tags"":[""Social"",""Paid Media""],""contract_type"":""Project"",""retainer_value"":10056.57,""renewal_date"":""2026-11-04""}"
HS-COMP-000055,Nova Capital 55,client055.example.com,FinTech,HS-OWN-0001,2025-09-27 10:23:28,2025-11-07 23:29:01,"{""service_line_tags"":[""Analytics""],""contract_type"":""Retainer"",""retainer_value"":11834.53,""renewal_date"":""2026-09-27""}"
HS-COMP-000056,Nova Capital 56,client056.example.com,FinTech,HS-OWN-0001,2025-02-17 01:49:36,2025-12-16 14:12:02,"{""service_line_tags"":[""Content"",""Web Dev""],""contract_type"":""Hybrid"",""retainer_value"":23786.4,""renewal_date"":""2025-08-16""}"
HS-COMP-000057,Nova Retail 57,client057.example.com,FinTech,HS-OWN-0004,2026-01-19 15:12:24,2026-03-01 07:35:49,"{""service_line_tags"":[""Web Dev"",""Analytics""],""contract_type"":""Hybrid"",""retainer_value"":19319.1,""renewal_date"":""2028-01-19""}"
HS-COMP-000058,North Capital 58,client058.example.com,Healthcare,HS-OWN-0010,2024-04-19 06:50:44,2025-02-15 07:40:09,"{""service_line_tags"":[""SEO"",""Web Dev"",""Email""],""contract_type"":""Project"",""retainer_value"":17549.66,""renewal_date"":""2025-04-19""}"
HS-COMP-000059,North Capital 59,client059.example.com,Healthcare,HS-OWN-0001,2025-06-09 02:48:46,2026-02-21 14:25:06,"{""service_line_tags"":[""Web Dev"",""Content""],""contract_type"":""Retainer"",""retainer_value"":4388.82,""renewal_date"":""2026-06-09""}"
HS-COMP-000060,Bright Capital 60,client060.example.com,Retail,HS-OWN-0002,2024-09-08 03:25:03,2025-08-27 07:37:38,"{""service_line_tags"":[""SEO"",""Social""],""contract_type"":""Project"",""retainer_value"":10093.76,""renewal_date"":""2025-09-08""}"
HS-COMP-000061,Blue Labs 61,client061.example.com,Healthcare,HS-OWN-0004,2025-05-20 17:17:01,2025-06-09 22:45:23,"{""service_line_tags"":[""Email""],""contract_type"":""Project"",""retainer_value"":7545.0,""renewal_date"":""2025-11-16""}"
HS-COMP-000062,Nova Retail 62,client062.example.com,FinTech,HS-OWN-0005,2024-07-24 02:23:48,2025-01-25 09:11:48,"{""service_line_tags"":[""Paid Media"",""Email""],""contract_type"":""Retainer"",""retainer_value"":13155.12,""renewal_date"":""2025-01-20""}"
HS-COMP-000063,Nova Labs 63,client063.example.com,Retail,HS-OWN-0010,2025-07-12 09:41:51,2025-08-25 21:13:16,"{""service_line_tags"":[""Web Dev"",""Analytics"",""Paid Media""],""contract_type"":""Retainer"",""retainer_value"":24206.22,""renewal_date"":""2026-01-08""}"
HS-COMP-000064,Blue Health 64,client064.example.com,E-commerce,HS-OWN-0010,2024-05-25 18:27:39,2025-08-28 15:57:53,"{""service_line_tags"":[""Analytics""],""contract_type"":""Hybrid"",""retainer_value"":21187.86,""renewal_date"":""2024-11-21""}"
HS-COMP-000065,Bright Labs 65,client065.example.com,EdTech,HS-OWN-0006,2025-06-10 07:31:52,2025-06-26 06:19:23,"{""service_line_tags"":[""Analytics""],""contract_type"":""Project"",""retainer_value"":14486.77,""renewal_date"":""2027-06-10""}"
HS-COMP-000066,Prime Retail 66,client066.example.com,FinTech,HS-OWN-0003,2025-02-17 00:14:46,2026-03-04 18:16:05,"{""service_line_tags"":[""Email"",""Social"",""Content""],""contract_type"":""Retainer"",""retainer_value"":12254.28,""renewal_date"":""2026-02-17""}"
HS-COMP-000067,Nova Health 67,client067.example.com,Retail,HS-OWN-0004,2025-07-19 03:13:20,2026-02-13 03:21:26,"{""service_line_tags"":[""Content""],""contract_type"":""Project"",""retainer_value"":12959.66,""renewal_date"":""2027-07-19""}"
HS-COMP-000068,Nova Capital 68,client068.example.com,Retail,HS-OWN-0001,2026-02-10 12:34:49,2026-03-04 09:48:09,"{""service_line_tags"":[""Analytics"",""Content""],""contract_type"":""Retainer"",""retainer_value"":19385.72,""renewal_date"":""2028-02-10""}"
HS-COMP-000069,Bright Health 69,client069.example.com,EdTech,HS-OWN-0005,2024-08-15 23:31:28,2025-08-29 16:06:50,"{""service_line_tags"":[""SEO"",""Email"",""Paid Media""],""contract_type"":""Retainer"",""retainer_value"":10483.56,""renewal_date"":""2025-08-15""}"
HS-COMP-000070,North Capital 70,client070.example.com,Real Estate,HS-OWN-0008,2024-06-02 05:43:30,2024-12-06 16:55:40,"{""service_line_tags"":[""Analytics"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":11644.63,""renewal_date"":""2026-06-02""}"
HS-COMP-000071,Bright Digital 71,client071.example.com,Retail,HS-OWN-0008,2024-06-08 00:25:26,2025-01-22 13:22:21,"{""service_line_tags"":[""Email"",""Content"",""Web Dev""],""contract_type"":""Retainer"",""retainer_value"":11599.03,""renewal_date"":""2024-12-05""}"
HS-COMP-000072,Bright Health 72,client072.example.com,Retail,HS-OWN-0004,2025-10-28 03:01:41,2026-02-12 00:01:27,"{""service_line_tags"":[""Social""],""contract_type"":""Project"",""retainer_value"":10415.74,""renewal_date"":""2026-10-28""}"
HS-COMP-000073,North Retail 73,client073.example.com,Healthcare,HS-OWN-0008,2024-08-24 07:48:55,2025-04-26 10:03:19,"{""service_line_tags"":[""Social"",""Email""],""contract_type"":""Retainer"",""retainer_value"":19214.82,""renewal_date"":""2026-08-24""}"
HS-COMP-000074,North Health 74,client074.example.com,Healthcare,HS-OWN-0006,2025-11-08 05:05:10,2026-02-18 02:04:16,"{""service_line_tags"":[""Content""],""contract_type"":""Hybrid"",""retainer_value"":8867.47,""renewal_date"":""2026-05-07""}"
HS-COMP-000075,Blue Digital 75,client075.example.com,Retail,HS-OWN-0003,2024-04-07 17:31:42,2025-10-09 15:56:58,"{""service_line_tags"":[""Analytics"",""Web Dev"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":5348.12,""renewal_date"":""2024-10-04""}"
HS-COMP-000076,Prime Health 76,client076.example.com,Healthcare,HS-OWN-0001,2026-02-03 14:27:32,2026-02-04 19:02:21,"{""service_line_tags"":[""Analytics"",""Web Dev""],""contract_type"":""Hybrid"",""retainer_value"":8897.63,""renewal_date"":""2027-02-03""}"
HS-COMP-000077,Nova Labs 77,client077.example.com,Healthcare,HS-OWN-0003,2024-06-24 08:31:20,2026-03-24 21:52:07,"{""service_line_tags"":[""Content"",""SEO"",""Paid Media""],""contract_type"":""Retainer"",""retainer_value"":11515.92,""renewal_date"":""2024-12-21""}"
HS-COMP-000078,North Digital 78,client078.example.com,FinTech,HS-OWN-0008,2024-06-27 17:52:51,2025-09-04 05:06:58,"{""service_line_tags"":[""Content"",""Email""],""contract_type"":""Project"",""retainer_value"":16142.15,""renewal_date"":""2026-06-27""}"
HS-COMP-000079,Blue Retail 79,client079.example.com,Real Estate,HS-OWN-0004,2025-02-23 19:45:05,2025-10-19 00:27:06,"{""service_line_tags"":[""Social"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":16473.11,""renewal_date"":""2027-02-23""}"
HS-COMP-000080,Blue Capital 80,client080.example.com,FinTech,HS-OWN-0010,2024-07-27 17:32:25,2025-01-30 00:57:04,"{""service_line_tags"":[""Content"",""SEO""],""contract_type"":""Retainer"",""retainer_value"":14919.83,""renewal_date"":""2025-01-23""}"
HS-COMP-000081,Blue Retail 81,client081.example.com,Retail,HS-OWN-0010,2024-09-23 12:48:49,2025-05-05 07:28:40,"{""service_line_tags"":[""Analytics"",""Paid Media"",""Web Dev""],""contract_type"":""Hybrid"",""retainer_value"":8861.16,""renewal_date"":""2025-09-23""}"
HS-COMP-000082,North Labs 82,client082.example.com,SaaS,HS-OWN-0003,2024-06-24 21:22:09,2025-08-21 20:44:51,"{""service_line_tags"":[""Email"",""Social""],""contract_type"":""Retainer"",""retainer_value"":17071.78,""renewal_date"":""2025-06-24""}"
HS-COMP-000083,Bright Capital 83,client083.example.com,Retail,HS-OWN-0009,2025-12-27 22:44:12,2026-02-21 05:05:06,"{""service_line_tags"":[""Web Dev"",""Analytics"",""SEO""],""contract_type"":""Project"",""retainer_value"":12380.95,""renewal_date"":""2026-12-27""}"
HS-COMP-000084,Bright Labs 84,client084.example.com,SaaS,HS-OWN-0004,2025-07-05 05:59:43,2025-07-20 17:31:28,"{""service_line_tags"":[""Analytics"",""Email"",""Social""],""contract_type"":""Project"",""retainer_value"":19027.01,""renewal_date"":""2027-07-05""}"
HS-COMP-000085,Blue Retail 85,client085.example.com,FinTech,HS-OWN-0009,2024-04-12 20:30:25,2025-11-27 20:40:25,"{""service_line_tags"":[""Web Dev"",""Content"",""Paid Media""],""contract_type"":""Hybrid"",""retainer_value"":20981.98,""renewal_date"":""2026-04-12""}"
HS-COMP-000086,Prime Health 86,client086.example.com,FinTech,HS-OWN-0006,2025-06-25 09:07:08,2025-12-11 15:51:41,"{""service_line_tags"":[""Social"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":20820.51,""renewal_date"":""2025-12-22""}"
HS-COMP-000087,Bright Capital 87,client087.example.com,E-commerce,HS-OWN-0009,2026-01-22 23:05:15,2026-02-07 13:50:11,"{""service_line_tags"":[""Web Dev""],""contract_type"":""Project"",""retainer_value"":11762.01,""renewal_date"":""2027-01-22""}"
HS-COMP-000088,Nova Labs 88,client088.example.com,Real Estate,HS-OWN-0009,2024-06-04 03:20:14,2025-02-03 10:21:43,"{""service_line_tags"":[""Web Dev"",""SEO""],""contract_type"":""Project"",""retainer_value"":9773.66,""renewal_date"":""2025-06-04""}"
HS-COMP-000089,Prime Labs 89,client089.example.com,Healthcare,HS-OWN-0005,2024-08-20 10:34:33,2025-09-27 02:59:11,"{""service_line_tags"":[""Paid Media"",""Content"",""Web Dev""],""contract_type"":""Project"",""retainer_value"":16509.26,""renewal_date"":""2025-08-20""}"
HS-COMP-000090,Nova Retail 90,client090.example.com,Real Estate,HS-OWN-0003,2026-02-09 21:57:17,2026-03-15 19:28:29,"{""service_line_tags"":[""Email"",""SEO""],""contract_type"":""Project"",""retainer_value"":5232.09,""renewal_date"":""2028-02-09""}"
HS-COMP-000091,Prime Labs 91,client091.example.com,Real Estate,HS-OWN-0003,2025-05-30 16:29:46,2025-11-05 03:14:41,"{""service_line_tags"":[""Social"",""Content""],""contract_type"":""Retainer"",""retainer_value"":7555.76,""renewal_date"":""2025-11-26""}"
HS-COMP-000092,Prime Retail 92,client092.example.com,FinTech,HS-OWN-0009,2025-04-26 23:50:44,2026-01-25 22:45:30,"{""service_line_tags"":[""Web Dev""],""contract_type"":""Project"",""retainer_value"":11848.53,""renewal_date"":""2026-04-26""}"
HS-COMP-000093,Blue Health 93,client093.example.com,E-commerce,HS-OWN-0007,2024-08-22 19:01:07,2025-12-01 08:13:36,"{""service_line_tags"":[""Analytics"",""Email""],""contract_type"":""Hybrid"",""retainer_value"":19291.58,""renewal_date"":""2025-02-18""}"
HS-COMP-000094,Nova Capital 94,client094.example.com,E-commerce,HS-OWN-0003,2024-10-21 06:14:35,2024-10-23 06:03:46,"{""service_line_tags"":[""Email"",""Web Dev""],""contract_type"":""Project"",""retainer_value"":18836.15,""renewal_date"":""2026-10-21""}"
HS-COMP-000095,Prime Health 95,client095.example.com,E-commerce,HS-OWN-0004,2024-12-20 19:21:37,2025-09-05 00:29:24,"{""service_line_tags"":[""Paid Media"",""Email"",""Web Dev""],""contract_type"":""Hybrid"",""retainer_value"":19664.64,""renewal_date"":""2025-12-20""}"
HS-COMP-000096,Prime Capital 96,client096.example.com,Real Estate,HS-OWN-0003,2024-09-25 03:42:12,2025-08-10 05:06:22,"{""service_line_tags"":[""SEO"",""Paid Media""],""contract_type"":""Retainer"",""retainer_value"":9658.97,""renewal_date"":""2025-09-25""}"
HS-COMP-000097,Blue Digital 97,client097.example.com,FinTech,HS-OWN-0001,2025-04-21 21:10:10,2025-12-07 02:02:59,"{""service_line_tags"":[""Paid Media"",""Web Dev"",""Analytics""],""contract_type"":""Project"",""retainer_value"":22068.26,""renewal_date"":""2026-04-21""}"
HS-COMP-000098,Prime Labs 98,client098.example.com,E-commerce,HS-OWN-0006,2024-05-24 20:41:00,2025-05-24 12:37:20,"{""service_line_tags"":[""Analytics"",""Email"",""Web Dev""],""contract_type"":""Project"",""retainer_value"":10117.63,""renewal_date"":""2026-05-24""}"
HS-COMP-000099,North Health 99,client099.example.com,Healthcare,HS-OWN-0002,2024-11-28 16:46:32,2025-12-12 16:46:33,"{""service_line_tags"":[""SEO"",""Social""],""contract_type"":""Hybrid"",""retainer_value"":3307.73,""renewal_date"":""2025-05-27""}"
HS-COMP-000100,Bright Labs 100,client100.example.com,SaaS,HS-OWN-0006,2025-09-25 11:15:35,2026-03-13 21:46:25,"{""service_line_tags"":[""Content""],""contract_type"":""Retainer"",""retainer_value"":12482.77,""renewal_date"":""2027-09-25""}"
HS-COMP-000101,Prime Digital 101,client101.example.com,Real Estate,HS-OWN-0003,2024-12-31 04:01:29,2025-10-18 07:34:08,"{""service_line_tags"":[""Paid Media""],""contract_type"":""Project"",""retainer_value"":5775.32,""renewal_date"":""2026-12-31""}"
