_dataorbit_sync_id,_dataorbit_synced_at,id,customer_id,total,tran_date,apply_list,last_modified_date
e7f5be9f-f5a4-4e2e-a4ad-842e3f4d54e8,2026-03-27 17:37:47,NS-PAY-0000036,NS-CUST-000095,30530.47,2025-08-26,"[{""invoice_id"":""NS-INV-0000057"",""amount_applied"":30530.47}]",2025-10-18 22:53:27
12f6c7d2-4570-4be0-930e-a6adb9202b0c,2026-03-27 17:37:47,NS-PAY-0000037,NS-CUST-000099,76778.14,2025-01-05,"[{""invoice_id"":""NS-INV-0000058"",""amount_applied"":76778.14}]",2024-09-28 02:10:24
364bacf7-63ea-4a09-ac4f-555af79016fc,2026-03-27 17:37:47,NS-PAY-0000038,NS-CUST-000102,97586.92,2026-04-05,"[{""invoice_id"":""NS-INV-0000060"",""amount_applied"":97586.92}]",2025-09-29 17:14:46
a6ebd4fa-e7aa-474e-a241-6056250d8f31,2026-03-27 17:37:47,NS-PAY-0000039,NS-CUST-000103,55171.39,2025-08-08,"[{""invoice_id"":""NS-INV-0000061"",""amount_applied"":55171.39}]",2024-05-29 00:15:42
088841e0-1af2-4ebc-9adf-f0a0b5faae2e,2026-03-27 17:37:47,NS-PAY-0000040,NS-CUST-000104,8689.94,2026-07-28,"[{""invoice_id"":""NS-INV-0000062"",""amount_applied"":8689.94}]",2025-09-02 19:47:53
395d324f-6624-44ed-b1dc-a079d26f032e,2026-03-27 17:37:47,NS-PAY-0000041,NS-CUST-000105,6805.05,2025-04-09,"[{""invoice_id"":""NS-INV-0000063"",""amount_applied"":6805.05}]",2024-05-21 13:49:20
25235f68-0ee8-4b8b-b991-bdfd255f40e9,2026-03-27 17:37:47,NS-PAY-0000042,NS-CUST-000106,112437.36,2024-08-15,"[{""invoice_id"":""NS-INV-0000064"",""amount_applied"":112437.36}]",2026-02-17 21:49:41
235e1879-b6e7-402d-9e5a-2154c91ef55b,2026-03-27 17:37:47,NS-PAY-0000043,NS-CUST-000116,26704.62,2026-06-28,"[{""invoice_id"":""NS-INV-0000072"",""amount_applied"":26704.62}]",2025-03-28 05:54:55
eaceeaa8-1edd-49f2-8e71-da08e67fe99e,2026-03-27 17:37:47,NS-PAY-0000044,NS-CUST-000117,24993.01,2025-08-09,"[{""invoice_id"":""NS-INV-0000073"",""amount_applied"":24993.01}]",2024-11-01 10:04:50
f3560ab7-b326-4303-8486-22e6248e6941,2026-03-27 17:37:47,NS-PAY-0000045,NS-CUST-000117,36704.35,2026-04-24,"[{""invoice_id"":""NS-INV-0000074"",""amount_applied"":36704.35}]",2024-04-12 17:38:20
b5286cc7-4363-4d16-a2fb-2ab2827881a2,2026-03-27 17:37:47,NS-PAY-0000046,NS-CUST-000117,53382.63,2025-06-20,"[{""invoice_id"":""NS-INV-0000075"",""amount_applied"":53382.63}]",2024-11-21 00:33:06
